Filename,Technique,Kernel,Method,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10
WW172S125G0.mat,gaussian,5,q1,"[[  0 226]
 [  0  58]
 [529  58]
 [529 141]]","[[  0 240]
 [  0  85]
 [529  94]
 [529 163]]","[[  0 174]
 [  0  42]
 [529  51]
 [529  81]]","[[  0 263]
 [  0  81]
 [529  81]
 [529 178]]","[[  0 230]
 [  0  49]
 [529  49]
 [529 109]]","[[  0 172]
 [  0  46]
 [529  27]
 [529  79]]","[[  0 272]
 [  0  90]
 [529  81]
 [529 169]]","[[  0 259]
 [  0  70]
 [529  79]
 [529 175]]","[[  0 274]
 [  0  94]
 [529  94]
 [529 171]]","[[  0 211]
 [  0  44]
 [529  44]
 [529 109]]"
WW172S125G0.mat,gaussian,5,avg_min_intensity,"[[  0  44]
 [  0  13]
 [529  13]
 [529  21]]","[[  0 304]
 [  0  80]
 [529 104]
 [529 192]]","[[  0 248]
 [  0  64]
 [529  68]
 [529 135]]",[],"[[  0 268]
 [  0  74]
 [529  81]
 [529 117]]","[[  0 293]
 [  0  96]
 [529 104]
 [529 171]]","[[  0 319]
 [  0 104]
 [529 104]
 [529 189]]","[[  0 260]
 [  0 107]
 [529 107]
 [529 128]]","[[  0 330]
 [  0  56]
 [529  29]
 [529 157]]","[[  0 255]
 [  0  71]
 [529  44]
 [529 134]]"
WW172S125G0.mat,gaussian,7,q1,"[[  0 272]
 [  0  52]
 [529  42]
 [529 169]]","[[  0 274]
 [  0  87]
 [529  68]
 [529 162]]","[[  0 254]
 [  0  92]
 [529  96]
 [529 179]]","[[  0 227]
 [  0  60]
 [529  50]
 [529 125]]","[[  0 281]
 [  0 124]
 [529 105]
 [529 170]]","[[  0 280]
 [  0  90]
 [529  96]
 [529 197]]","[[  0 267]
 [  0 112]
 [529 104]
 [529 174]]","[[  0 250]
 [  0  88]
 [529  96]
 [529 157]]","[[  0 215]
 [  0  52]
 [529  52]
 [529  94]]","[[  0 224]
 [  0  75]
 [529  70]
 [529 131]]"
WW172S125G0.mat,gaussian,7,avg_min_intensity,"[[  0  53]
 [  0   2]
 [529   2]
 [529  20]]","[[  0 265]
 [  0  60]
 [529  97]
 [529 129]]","[[  0 237]
 [  0  87]
 [529  61]
 [529 115]]","[[  0 287]
 [  0  76]
 [529 108]
 [529 161]]","[[  0 302]
 [  0  71]
 [529  80]
 [529 171]]","[[  0 352]
 [  0 208]
 [529 190]
 [529 241]]","[[  0 334]
 [  0 174]
 [529 178]
 [529 230]]","[[  0 328]
 [  0 114]
 [529 118]
 [529 171]]","[[  0 308]
 [  0 165]
 [529 156]
 [529 205]]","[[  0 254]
 [  0  69]
 [529  78]
 [529 152]]"
WW172S125G0.mat,gaussian,9,q1,"[[  0 263]
 [  0  53]
 [529  34]
 [529 152]]","[[  0 280]
 [  0 121]
 [529 104]
 [529 168]]","[[  0 239]
 [  0  74]
 [529  57]
 [529 118]]","[[  0 280]
 [  0  94]
 [529  94]
 [529 168]]","[[  0 289]
 [  0  80]
 [529  54]
 [529 167]]","[[  0 276]
 [  0  58]
 [529  49]
 [529 211]]","[[  0 194]
 [  0  49]
 [529  49]
 [529  82]]","[[  0 157]
 [  0  50]
 [529  41]
 [529  88]]","[[  0 188]
 [  0  54]
 [529  35]
 [529  66]]","[[  0 260]
 [  0  98]
 [529 107]
 [529 176]]"
WW172S125G0.mat,gaussian,9,avg_min_intensity,"[[  0  49]
 [  0   2]
 [529   2]
 [529  30]]","[[  0 231]
 [  0  70]
 [529  97]
 [529 157]]","[[  0 323]
 [  0 121]
 [529 125]
 [529 202]]","[[  0 266]
 [  0  75]
 [529  75]
 [529 129]]","[[  0 269]
 [  0  75]
 [529 122]
 [529 166]]","[[  0 218]
 [  0  36]
 [529 113]
 [529 125]]","[[  0 332]
 [  0 160]
 [529 168]
 [529 228]]","[[  0 205]
 [  0 118]
 [529  96]
 [529 131]]","[[  0 270]
 [  0  79]
 [529  93]
 [529 147]]","[[  0 277]
 [  0 110]
 [529 124]
 [529 170]]"
WW172S125G0.mat,gaussian,11,q1,"[[  0 277]
 [  0  52]
 [529  33]
 [529 165]]","[[  0 279]
 [  0 114]
 [529 109]
 [529 158]]","[[  0 161]
 [  0  42]
 [529  42]
 [529  59]]","[[  0 276]
 [  0  56]
 [529  38]
 [529 155]]","[[  0 279]
 [  0 121]
 [529 107]
 [529 177]]","[[  0 294]
 [  0  46]
 [529  64]
 [529 182]]","[[  0 274]
 [  0  93]
 [529  75]
 [529 181]]","[[  0 285]
 [  0 114]
 [529 124]
 [529 161]]","[[  0 256]
 [  0  81]
 [529  81]
 [529 134]]","[[  0 263]
 [  0 116]
 [529 116]
 [529 170]]"
WW172S125G0.mat,gaussian,11,avg_min_intensity,[],"[[  0 274]
 [  0 100]
 [529  82]
 [529 181]]","[[  0 244]
 [  0 111]
 [529  57]
 [529 160]]","[[  0 269]
 [  0 101]
 [529  92]
 [529 148]]","[[  0 279]
 [  0  76]
 [529  76]
 [529 128]]","[[  0 259]
 [  0  54]
 [529 101]
 [529 152]]","[[  0 332]
 [  0 138]
 [529 138]
 [529 228]]","[[  0 253]
 [  0  88]
 [529  79]
 [529 150]]","[[  0 322]
 [  0 128]
 [529 119]
 [529 199]]","[[  0 175]
 [  0  74]
 [529  78]
 [529 129]]"
WW141S100G0.mat,gaussian,3,q1,"[[  0 124]
 [  0  11]
 [529  11]
 [529  30]]","[[  0 223]
 [  0  30]
 [529  21]
 [529  76]]","[[  0 212]
 [  0  51]
 [529  51]
 [529 147]]","[[  0 213]
 [  0  59]
 [529  55]
 [529 114]]","[[  0 167]
 [  0  41]
 [529  27]
 [529  75]]","[[  0 163]
 [  0  31]
 [529  31]
 [529  70]]","[[  0 226]
 [  0  62]
 [529  71]
 [529 142]]","[[  0 167]
 [  0  46]
 [529  18]
 [529  85]]","[[  0 123]
 [  0   6]
 [529   7]
 [529  20]]","[[  0 135]
 [  0   8]
 [529  25]
 [529  33]]"
WW141S100G0.mat,gaussian,3,avg_min_intensity,"[[  0  76]
 [  0  11]
 [529  11]
 [529  21]]","[[  0 152]
 [  0  35]
 [529  35]
 [529  87]]","[[  0 274]
 [  0  86]
 [529  69]
 [529 191]]","[[  0 195]
 [  0  37]
 [529  37]
 [529 103]]","[[  0 175]
 [  0  62]
 [529  34]
 [529  81]]","[[  0 143]
 [  0  35]
 [529  30]
 [529  64]]","[[  0 154]
 [  0   4]
 [529  17]
 [529  32]]","[[  0 224]
 [  0  19]
 [529  24]
 [529  73]]",[],"[[  0 153]
 [  0   4]
 [529  22]
 [529  69]]"
WW141S100G0.mat,gaussian,5,q1,"[[  0 140]
 [  0  50]
 [529  50]
 [529 104]]","[[  0 181]
 [  0  47]
 [529  47]
 [529  92]]","[[  0 163]
 [  0  51]
 [529  51]
 [529 106]]","[[  0 274]
 [  0  83]
 [529  79]
 [529 183]]","[[  0 163]
 [  0  33]
 [529  24]
 [529  61]]",[],"[[  0 159]
 [  0  42]
 [529  33]
 [529  76]]","[[  0 171]
 [  0  46]
 [529  23]
 [529  60]]","[[  0 156]
 [  0  51]
 [529  33]
 [529  87]]","[[  0 141]
 [  0  35]
 [529  30]
 [529  47]]"
WW141S100G0.mat,gaussian,5,avg_min_intensity,"[[  0  34]
 [  0   2]
 [529   2]
 [529   8]]","[[  0 269]
 [  0  66]
 [529  66]
 [529 137]]","[[  0 222]
 [  0  77]
 [529  72]
 [529 129]]","[[  0 308]
 [  0 122]
 [529 113]
 [529 182]]","[[  0 310]
 [  0 142]
 [529 115]
 [529 158]]","[[  0 195]
 [  0  24]
 [529  24]
 [529  65]]","[[  0 240]
 [  0  39]
 [529  30]
 [529  79]]","[[  0 266]
 [  0  67]
 [529  67]
 [529 123]]","[[  0 173]
 [  0  62]
 [529  20]
 [529  98]]","[[  0 281]
 [  0  49]
 [529  57]
 [529 138]]"
WW141S100G0.mat,gaussian,7,q1,"[[  0 129]
 [  0  29]
 [529  29]
 [529  54]]","[[  0 143]
 [  0   2]
 [529   2]
 [529  20]]","[[  0 269]
 [  0 103]
 [529  99]
 [529 204]]","[[  0 213]
 [  0  60]
 [529  69]
 [529 119]]","[[  0 204]
 [  0  62]
 [529  62]
 [529 107]]","[[  0 194]
 [  0  57]
 [529  65]
 [529 110]]","[[  0 213]
 [  0  55]
 [529  46]
 [529  91]]","[[  0 203]
 [  0  42]
 [529  33]
 [529  86]]","[[  0 191]
 [  0  51]
 [529  59]
 [529 115]]","[[  0 241]
 [  0  87]
 [529  87]
 [529 156]]"
WW141S100G0.mat,gaussian,7,avg_min_intensity,"[[  0  74]
 [  0  18]
 [529  18]
 [529  28]]","[[  0 285]
 [  0  57]
 [529  39]
 [529 144]]","[[  0 203]
 [  0  47]
 [529  56]
 [529  71]]","[[  0 300]
 [  0 127]
 [529  61]
 [529 149]]",[],"[[  0 206]
 [  0  49]
 [529  40]
 [529 105]]","[[  0 269]
 [  0  68]
 [529  40]
 [529 175]]","[[  0 266]
 [  0 128]
 [529  39]
 [529 133]]","[[  0 233]
 [  0  59]
 [529   5]
 [529 115]]","[[  0 303]
 [  0  50]
 [529  58]
 [529 152]]"
WW141S100G0.mat,gaussian,9,q1,"[[  0 149]
 [  0  28]
 [529  28]
 [529  74]]","[[  0 148]
 [  0  47]
 [529  12]
 [529  56]]","[[  0 195]
 [  0  39]
 [529  39]
 [529  93]]","[[  0 272]
 [  0 106]
 [529  79]
 [529 209]]","[[  0 205]
 [  0  45]
 [529  45]
 [529 104]]","[[  0 171]
 [  0  42]
 [529  34]
 [529  88]]","[[  0 195]
 [  0  80]
 [529  72]
 [529 113]]",[],"[[  0 209]
 [  0  50]
 [529  50]
 [529  96]]","[[  0 190]
 [  0  57]
 [529  66]
 [529 108]]"
WW141S100G0.mat,gaussian,9,avg_min_intensity,[],"[[  0 261]
 [  0 145]
 [529 136]
 [529 176]]","[[  0 305]
 [  0 126]
 [529 117]
 [529 154]]","[[  0 309]
 [  0 109]
 [529 132]
 [529 158]]",[],"[[  0 239]
 [  0  47]
 [529  33]
 [529  99]]","[[  0 282]
 [  0  44]
 [529  36]
 [529 131]]","[[  0 277]
 [  0 100]
 [529 156]
 [529 193]]","[[  0 253]
 [  0  30]
 [529  75]
 [529 131]]","[[  0 281]
 [  0  60]
 [529  52]
 [529 165]]"
WW141S100G0.mat,gaussian,11,q1,"[[  0 171]
 [  0  37]
 [529  37]
 [529  70]]",[],"[[  0 222]
 [  0  70]
 [529  70]
 [529 139]]","[[  0 291]
 [  0 107]
 [529 107]
 [529 217]]","[[  0 163]
 [  0  29]
 [529  29]
 [529  40]]","[[  0 193]
 [  0  47]
 [529  33]
 [529  81]]","[[  0 188]
 [  0  31]
 [529  31]
 [529  42]]","[[  0 161]
 [  0  44]
 [529  35]
 [529  96]]","[[  0 158]
 [  0  27]
 [529  45]
 [529  56]]","[[  0 200]
 [  0  58]
 [529  67]
 [529 136]]"
WW141S100G0.mat,gaussian,11,avg_min_intensity,[],"[[  0 272]
 [  0 114]
 [529 118]
 [529 155]]","[[  0 234]
 [  0  39]
 [529  66]
 [529 131]]",[],[],"[[  0 201]
 [  0  48]
 [529  48]
 [529 109]]","[[  0 243]
 [  0  56]
 [529  80]
 [529 116]]","[[  0 315]
 [  0 120]
 [529 129]
 [529 149]]","[[  0 283]
 [  0  42]
 [529  42]
 [529 152]]","[[  0 214]
 [  0  32]
 [529  32]
 [529 116]]"
WW182S125G0.mat,gaussian,3,q1,"[[  0 270]
 [  0  51]
 [529  60]
 [529 215]]","[[  0 108]
 [  0  34]
 [529  25]
 [529  48]]","[[  0 139]
 [  0  24]
 [529  14]
 [529  55]]","[[  0 151]
 [  0   6]
 [529   6]
 [529  31]]","[[  0 270]
 [  0  37]
 [529  47]
 [529 204]]",[],"[[  0 130]
 [  0  31]
 [529  23]
 [529  55]]","[[  0 221]
 [  0  89]
 [529  52]
 [529  99]]","[[  0 266]
 [  0  68]
 [529  68]
 [529 202]]","[[  0 208]
 [  0  -6]
 [529  39]
 [529  68]]"
WW182S125G0.mat,gaussian,3,avg_min_intensity,"[[  0 166]
 [  0  25]
 [529  25]
 [529 122]]","[[  0 275]
 [  0  60]
 [529  60]
 [529 163]]","[[  0 345]
 [  0  84]
 [529  94]
 [529 214]]","[[  0 239]
 [  0  41]
 [529  32]
 [529 116]]",[],"[[  0 260]
 [  0   4]
 [529  23]
 [529  99]]","[[  0 232]
 [  0  40]
 [529  40]
 [529 100]]","[[  0 255]
 [  0  44]
 [529  34]
 [529 144]]","[[  0 287]
 [  0  68]
 [529  77]
 [529 150]]","[[  0 308]
 [  0  44]
 [529  44]
 [529 157]]"
WW182S125G0.mat,gaussian,5,q1,"[[  0 180]
 [  0  50]
 [529  40]
 [529 106]]","[[  0 195]
 [  0  35]
 [529  44]
 [529  84]]","[[  0 143]
 [  0   3]
 [529   3]
 [529  20]]","[[  0 156]
 [  0  30]
 [529  40]
 [529  58]]","[[  0 141]
 [  0  41]
 [529  37]
 [529  58]]","[[  0 220]
 [  0  64]
 [529  54]
 [529 148]]","[[  0 278]
 [  0  66]
 [529  62]
 [529 222]]","[[  0 297]
 [  0  73]
 [529  73]
 [529 183]]","[[  0 109]
 [  0   6]
 [529  -2]
 [529  17]]","[[  0 161]
 [  0  32]
 [529  14]
 [529  68]]"
WW182S125G0.mat,gaussian,5,avg_min_intensity,"[[  0  52]
 [  0  10]
 [529  10]
 [529  30]]","[[  0 214]
 [  0  19]
 [529  19]
 [529 110]]","[[  0 277]
 [  0  61]
 [529  61]
 [529 126]]","[[  0 336]
 [  0 135]
 [529 144]
 [529 214]]","[[  0 241]
 [  0 113]
 [529 104]
 [529 166]]","[[  0 270]
 [  0  56]
 [529  56]
 [529 167]]","[[  0 328]
 [  0 106]
 [529 106]
 [529 211]]","[[  0 286]
 [  0  78]
 [529  86]
 [529 115]]","[[  0 272]
 [  0 130]
 [529 149]
 [529 150]]","[[  0 358]
 [  0 110]
 [529 110]
 [529 202]]"
WW182S125G0.mat,gaussian,7,q1,"[[  0 274]
 [  0  52]
 [529  60]
 [529 200]]","[[  0 240]
 [  0   6]
 [529  42]
 [529 139]]","[[  0 269]
 [  0  92]
 [529  87]
 [529 223]]","[[  0 148]
 [  0  34]
 [529  16]
 [529  55]]","[[  0 270]
 [  0  70]
 [529  78]
 [529 214]]","[[  0 261]
 [  0  91]
 [529 110]
 [529 197]]","[[  0 174]
 [  0  23]
 [529  23]
 [529  43]]",[],"[[  0 136]
 [  0  41]
 [529  31]
 [529  45]]","[[  0 270]
 [  0  32]
 [529  32]
 [529 177]]"
WW182S125G0.mat,gaussian,7,avg_min_intensity,"[[  0  56]
 [  0   2]
 [529   2]
 [529  43]]","[[  0 261]
 [  0 119]
 [529  72]
 [529 150]]","[[  0 298]
 [  0  99]
 [529 108]
 [529 177]]","[[  0 234]
 [  0  76]
 [529 103]
 [529 111]]","[[  0 233]
 [  0  70]
 [529  99]
 [529 102]]","[[  0 249]
 [  0 113]
 [529  99]
 [529 138]]","[[  0 272]
 [  0 163]
 [529 126]
 [529 189]]",[],[],"[[  0 235]
 [  0  38]
 [529  85]
 [529  84]]"
WW182S125G0.mat,gaussian,9,q1,[],"[[  0 253]
 [  0  70]
 [529  70]
 [529 197]]","[[  0 282]
 [  0  27]
 [529  46]
 [529 197]]","[[  0 256]
 [  0  59]
 [529  68]
 [529 145]]","[[  0 273]
 [  0  47]
 [529  57]
 [529 195]]","[[  0 233]
 [  0  61]
 [529  61]
 [529 129]]","[[  0 232]
 [  0  46]
 [529  54]
 [529 140]]","[[  0 168]
 [  0  45]
 [529  37]
 [529  94]]","[[  0 271]
 [  0  63]
 [529  73]
 [529 215]]","[[  0 259]
 [  0  65]
 [529  73]
 [529 195]]"
WW182S125G0.mat,gaussian,9,avg_min_intensity,[],"[[  0 218]
 [  0  81]
 [529  63]
 [529 107]]","[[  0 200]
 [  0  94]
 [529  94]
 [529 112]]","[[  0 263]
 [  0 121]
 [529 121]
 [529 189]]","[[  0 274]
 [  0  93]
 [529  93]
 [529 173]]","[[  0 246]
 [  0 113]
 [529 121]
 [529 135]]",[],"[[  0 273]
 [  0 124]
 [529 100]
 [529 127]]","[[  0 270]
 [  0  49]
 [529  98]
 [529 139]]",[]
WW182S125G0.mat,gaussian,11,q1,"[[  0 269]
 [  0  38]
 [529  85]
 [529 214]]","[[  0 180]
 [  0  58]
 [529  66]
 [529 107]]","[[  0 267]
 [  0  60]
 [529  60]
 [529 221]]","[[  0 269]
 [  0  81]
 [529  81]
 [529 203]]","[[  0 275]
 [  0  72]
 [529  72]
 [529 219]]","[[  0 250]
 [  0  62]
 [529  62]
 [529 195]]","[[  0 160]
 [  0  45]
 [529  45]
 [529  84]]","[[  0 272]
 [  0  57]
 [529  74]
 [529 217]]","[[  0 265]
 [  0  16]
 [529  52]
 [529 219]]","[[  0 259]
 [  0  37]
 [529  64]
 [529 193]]"
WW182S125G0.mat,gaussian,11,avg_min_intensity,[],"[[  0 275]
 [  0 101]
 [529 101]
 [529 163]]","[[  0 212]
 [  0  86]
 [529  95]
 [529 109]]",[],[],"[[  0 249]
 [  0  78]
 [529  78]
 [529 102]]","[[  0 268]
 [  0 116]
 [529 125]
 [529 221]]","[[  0 237]
 [  0  99]
 [529  90]
 [529 140]]","[[  0 226]
 [  0 108]
 [529  92]
 [529 123]]","[[  0 233]
 [  0 117]
 [529 126]
 [529 140]]"
WW172S100G0.mat,gaussian,3,q1,"[[  0 259]
 [  0  56]
 [529  65]
 [529 175]]","[[  0 275]
 [  0  77]
 [529  86]
 [529 173]]","[[  0 197]
 [  0  42]
 [529  42]
 [529 118]]","[[  0 263]
 [  0  46]
 [529  46]
 [529 171]]","[[  0 203]
 [  0  51]
 [529  37]
 [529 100]]","[[  0 183]
 [  0   2]
 [529  39]
 [529  66]]","[[  0 210]
 [  0  58]
 [529  49]
 [529 127]]","[[  0 174]
 [  0  50]
 [529  50]
 [529  81]]","[[  0 275]
 [  0  65]
 [529  82]
 [529 153]]","[[  0 274]
 [  0  71]
 [529  71]
 [529 164]]"
WW172S100G0.mat,gaussian,3,avg_min_intensity,"[[  0 159]
 [  0  21]
 [529  21]
 [529  81]]","[[  0 274]
 [  0  32]
 [529  32]
 [529 154]]","[[  0 262]
 [  0  64]
 [529  73]
 [529 189]]","[[  0 237]
 [  0  71]
 [529  71]
 [529 153]]","[[  0 241]
 [  0  61]
 [529  70]
 [529 148]]","[[  0 263]
 [  0  86]
 [529  95]
 [529 171]]","[[  0 298]
 [  0 101]
 [529 115]
 [529 186]]","[[  0 136]
 [  0  64]
 [529  -8]
 [529  67]]","[[  0 166]
 [  0   8]
 [529  18]
 [529  53]]","[[  0 193]
 [  0  37]
 [529  46]
 [529  79]]"
WW172S100G0.mat,gaussian,5,q1,"[[  0 138]
 [  0  30]
 [529  26]
 [529  72]]","[[  0 183]
 [  0  40]
 [529  45]
 [529  72]]","[[  0 274]
 [  0  99]
 [529  81]
 [529 181]]","[[  0 157]
 [  0  18]
 [529  10]
 [529  43]]","[[  0 240]
 [  0 106]
 [529  95]
 [529 147]]","[[  0 243]
 [  0  91]
 [529  91]
 [529 111]]","[[  0 257]
 [  0  63]
 [529  71]
 [529 193]]","[[  0 224]
 [  0  62]
 [529  62]
 [529 131]]","[[  0 268]
 [  0  90]
 [529  90]
 [529 146]]","[[  0 186]
 [  0  33]
 [529  33]
 [529  75]]"
WW172S100G0.mat,gaussian,5,avg_min_intensity,"[[  0  49]
 [  0   7]
 [529   7]
 [529  29]]","[[  0 244]
 [  0  14]
 [529  50]
 [529  83]]","[[  0 269]
 [  0  83]
 [529  88]
 [529 148]]","[[  0 353]
 [  0  84]
 [529  84]
 [529 212]]","[[  0 208]
 [  0  19]
 [529  33]
 [529  95]]","[[  0 257]
 [  0  69]
 [529  69]
 [529 134]]","[[  0 279]
 [  0  55]
 [529  60]
 [529 148]]","[[  0 226]
 [  0  70]
 [529  88]
 [529 115]]","[[  0 314]
 [  0  77]
 [529  94]
 [529 167]]","[[  0 267]
 [  0  82]
 [529  73]
 [529 143]]"
WW172S100G0.mat,gaussian,7,q1,"[[  0 205]
 [  0  29]
 [529  38]
 [529 119]]","[[  0 279]
 [  0  84]
 [529  98]
 [529 177]]","[[  0 270]
 [  0 102]
 [529 111]
 [529 177]]","[[  0 287]
 [  0 122]
 [529 109]
 [529 160]]","[[  0 255]
 [  0 117]
 [529 108]
 [529 170]]","[[  0 295]
 [  0  98]
 [529  98]
 [529 145]]","[[  0 199]
 [  0  52]
 [529  70]
 [529 107]]","[[  0 242]
 [  0  85]
 [529  76]
 [529 130]]","[[  0 263]
 [  0  98]
 [529  98]
 [529 171]]","[[  0 276]
 [  0 112]
 [529 104]
 [529 173]]"
WW172S100G0.mat,gaussian,7,avg_min_intensity,"[[  0  48]
 [  0   2]
 [529   2]
 [529  30]]","[[  0 366]
 [  0 196]
 [529 177]
 [529 224]]","[[  0 250]
 [  0  68]
 [529 127]
 [529 129]]","[[  0 267]
 [  0  79]
 [529  79]
 [529 135]]","[[  0 280]
 [  0  68]
 [529  58]
 [529 118]]","[[  0 317]
 [  0  77]
 [529  96]
 [529 250]]","[[  0 389]
 [  0 224]
 [529 187]
 [529 305]]","[[  0 301]
 [  0 106]
 [529  97]
 [529 193]]","[[  0 263]
 [  0  99]
 [529  99]
 [529 161]]","[[  0 263]
 [  0  81]
 [529 109]
 [529 150]]"
WW172S100G0.mat,gaussian,9,q1,"[[  0 222]
 [  0  34]
 [529  42]
 [529 118]]","[[  0 225]
 [  0  88]
 [529  77]
 [529 160]]","[[  0 274]
 [  0  74]
 [529  83]
 [529 181]]","[[  0 264]
 [  0 114]
 [529 105]
 [529 188]]","[[  0 255]
 [  0 106]
 [529  79]
 [529 180]]","[[  0 273]
 [  0 135]
 [529  99]
 [529 142]]","[[  0 281]
 [  0 126]
 [529  90]
 [529 207]]","[[  0 178]
 [  0  49]
 [529  40]
 [529  67]]","[[  0 273]
 [  0 109]
 [529 101]
 [529 171]]","[[  0 281]
 [  0 100]
 [529 100]
 [529 169]]"
WW172S100G0.mat,gaussian,9,avg_min_intensity,[],"[[  0 263]
 [  0  96]
 [529  77]
 [529 131]]","[[  0 315]
 [  0 100]
 [529 100]
 [529 198]]","[[  0 199]
 [  0  79]
 [529  74]
 [529  92]]","[[  0 262]
 [  0  87]
 [529  78]
 [529 155]]","[[  0 269]
 [  0  95]
 [529 100]
 [529 176]]","[[  0 265]
 [  0  60]
 [529 101]
 [529 152]]","[[  0 294]
 [  0 181]
 [529 163]
 [529 239]]","[[  0 258]
 [  0  83]
 [529 102]
 [529 156]]","[[  0 276]
 [  0  95]
 [529  85]
 [529 184]]"
WW172S100G0.mat,gaussian,11,q1,"[[  0 276]
 [  0 101]
 [529  91]
 [529 173]]","[[  0 272]
 [  0  84]
 [529  84]
 [529 197]]","[[  0 280]
 [  0 106]
 [529 115]
 [529 178]]","[[  0 280]
 [  0 100]
 [529 118]
 [529 158]]","[[  0 272]
 [  0 116]
 [529 111]
 [529 169]]","[[  0 288]
 [  0 107]
 [529  99]
 [529 167]]","[[  0 250]
 [  0  89]
 [529  70]
 [529 165]]","[[  0 243]
 [  0  89]
 [529  75]
 [529 167]]","[[  0 270]
 [  0 109]
 [529 109]
 [529 177]]","[[  0 194]
 [  0  52]
 [529  52]
 [529  86]]"
WW172S100G0.mat,gaussian,11,avg_min_intensity,[],"[[  0 239]
 [  0  75]
 [529 121]
 [529 135]]","[[  0 273]
 [  0  93]
 [529  93]
 [529 161]]","[[  0 298]
 [  0  81]
 [529  89]
 [529 205]]","[[  0 237]
 [  0  97]
 [529  53]
 [529 136]]","[[  0 240]
 [  0  87]
 [529  96]
 [529 148]]","[[  0 451]
 [  0 193]
 [529 193]
 [529 366]]","[[  0 209]
 [  0  84]
 [529  75]
 [529 115]]","[[  0 280]
 [  0 101]
 [529  93]
 [529 176]]","[[  0 264]
 [  0  87]
 [529  74]
 [529 156]]"
WW172S125GP10.mat,gaussian,3,q1,"[[  0 269]
 [  0  55]
 [529  55]
 [529 167]]","[[  0 198]
 [  0  43]
 [529  34]
 [529  95]]","[[  0 202]
 [  0  69]
 [529  69]
 [529 147]]","[[  0 169]
 [  0  53]
 [529  44]
 [529  94]]","[[  0 261]
 [  0  70]
 [529  70]
 [529 149]]","[[  0 248]
 [  0  45]
 [529  45]
 [529 137]]","[[  0 225]
 [  0  84]
 [529  84]
 [529 160]]","[[  0 176]
 [  0  52]
 [529  33]
 [529  74]]","[[  0 207]
 [  0  45]
 [529  36]
 [529 105]]","[[  0 234]
 [  0  41]
 [529  45]
 [529 110]]"
WW172S125GP10.mat,gaussian,3,avg_min_intensity,"[[  0  41]
 [  0  13]
 [529  -4]
 [529  14]]","[[  0 224]
 [  0  56]
 [529  52]
 [529 122]]","[[  0 283]
 [  0 111]
 [529 120]
 [529 176]]","[[  0 326]
 [  0  94]
 [529  85]
 [529 224]]","[[  0 209]
 [  0  52]
 [529  24]
 [529  68]]","[[  0 264]
 [  0  81]
 [529  81]
 [529 161]]","[[  0 326]
 [  0 102]
 [529  95]
 [529 205]]","[[  0 191]
 [  0  24]
 [529  42]
 [529  79]]","[[  0 290]
 [  0  64]
 [529  64]
 [529 154]]","[[  0 234]
 [  0  74]
 [529  46]
 [529 107]]"
WW172S125GP10.mat,gaussian,5,q1,"[[  0 159]
 [  0  20]
 [529  28]
 [529  58]]","[[  0 274]
 [  0  93]
 [529  93]
 [529 190]]","[[  0 157]
 [  0  48]
 [529  48]
 [529  82]]","[[  0 198]
 [  0  47]
 [529  47]
 [529  72]]","[[  0 257]
 [  0  76]
 [529  67]
 [529 164]]","[[  0 279]
 [  0 114]
 [529 114]
 [529 177]]","[[  0 284]
 [  0  72]
 [529  72]
 [529 162]]","[[  0 260]
 [  0  77]
 [529  77]
 [529 158]]","[[  0 210]
 [  0  52]
 [529  34]
 [529  88]]","[[  0 274]
 [  0  82]
 [529  82]
 [529 190]]"
WW172S125GP10.mat,gaussian,5,avg_min_intensity,"[[  0  46]
 [  0   8]
 [529   8]
 [529  36]]","[[  0 318]
 [  0  97]
 [529  97]
 [529 196]]","[[  0 466]
 [  0 196]
 [529 196]
 [529 334]]","[[  0 237]
 [  0  21]
 [529  32]
 [529  70]]","[[  0 339]
 [  0 101]
 [529 111]
 [529 192]]","[[  0 349]
 [  0 142]
 [529 142]
 [529 206]]","[[  0 339]
 [  0 157]
 [529 152]
 [529 217]]","[[  0 294]
 [  0 101]
 [529 118]
 [529 152]]","[[  0 232]
 [  0  82]
 [529  76]
 [529 139]]","[[  0 262]
 [  0 112]
 [529 102]
 [529 130]]"
WW172S125GP10.mat,gaussian,7,q1,"[[  0 168]
 [  0  52]
 [529  33]
 [529  85]]","[[  0 270]
 [  0 115]
 [529 106]
 [529 176]]","[[  0 224]
 [  0  68]
 [529  49]
 [529 111]]","[[  0 201]
 [  0  59]
 [529  40]
 [529  98]]","[[  0 273]
 [  0  81]
 [529  81]
 [529 180]]","[[  0 199]
 [  0  62]
 [529  34]
 [529  59]]","[[  0 184]
 [  0  40]
 [529  49]
 [529  73]]","[[  0 161]
 [  0  55]
 [529  45]
 [529  76]]","[[  0 280]
 [  0 116]
 [529 116]
 [529 186]]","[[  0 169]
 [  0  32]
 [529  40]
 [529  67]]"
